trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-55.22989287691019,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,0,-63.115757369141434,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,11,-47.939289365756274,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",25,0,-15.89973747187819,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",25,1,-53.284052456913244,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-89.0324777904112,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",25,0,-87.70613554865957,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",20,0,-70.65540983852016,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",20,0,-69.14675095324758,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",30,0,-106.41147443385007,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",30,13,-120.9538349281069,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",20,11,-25.916744099044678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",30,20,-3.527970164508106,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
