trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,13,-20.749412052852914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.56032204577029,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.5105566217598,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,7,-110.86043954096255,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.6520266867679,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.25630263938204,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.89019311684714,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.006755734781436,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.9812841516147,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.8836777068844,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.0165073901813,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.36993611175324,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.56339140562925,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.38018138725857,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-327.84452881305714,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.982030973667165,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-215.20706777434512,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,14,-57.619745445548425,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.74746832139388,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-356.30365452226147,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.51306349420244,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.35163647376723,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.22990682950956,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-34.11540711436698,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.65251337373896,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.34736419676325,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.564767555155385,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.68050822553056,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.34574795930718,"{0: 11, 1: 8, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.90302364441742,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
